Time,PT.Motor.Trq,Car.v
59.41,49.66744995,38.96444089
59.42,50.1924324,38.9845493
59.43,50.72781372,39.0050491
59.44,51.27345276,39.02595402
59.45,51.82917404,39.0472675
59.46,52.3947525,39.0689964
59.47,52.96990204,39.09115102
59.48,53.55428696,39.11373479
59.49,54.14754105,39.13675458
59.5,54.74927139,39.16021382
59.51,55.35904694,39.18412625
59.52,55.97640991,39.20848843
59.53,56.60087967,39.23331067
59.54,57.23194504,39.25859639
59.55,57.86906815,39.28434903
59.56,58.51168442,39.31057202
59.57,59.15919495,39.33727566
59.58,59.8110199,39.36445653
59.59,60.46657181,39.39211804
59.6,61.12536621,39.42026707
59.61,61.78687286,39.44890019
59.62,62.45052719,39.47802426
59.63,63.11576843,39.50763928
59.64,63.78204727,39.53774869
59.65,64.44879913,39.56834904
59.66,65.11513519,39.59944035
59.67,65.777565,39.63102948
59.68,66.4349823,39.66310269
59.69,67.08706665,39.69566685
59.7,67.73358154,39.7287151
59.71,68.37424469,39.76224057
59.72,69.00888824,39.79624669
59.73,69.6374054,39.83072316
59.74,70.25961304,39.86566998
59.75,70.87541962,39.90108372
59.76,71.48479462,39.93695752
59.77,72.08772278,39.97328793
59.78,72.68421173,40.01007496
59.79,73.27420807,40.04730832
59.8,73.85774994,40.08498799
59.81,74.43491364,40.12311055
59.82,75.0057373,40.16167256
59.83,75.57021332,40.20066373
59.84,76.12836456,40.24008748
59.85,76.68023682,40.27993695
59.86,77.225914,40.32020871
59.87,77.76543427,40.36089589
59.88,78.29882813,40.40199849
59.89,78.82618713,40.44351307
59.9,79.34758759,40.48543278
59.91,79.86306,40.52775418
59.92,80.37262726,40.57047726
59.93,80.87633514,40.61359517
59.94,81.37423706,40.65710446
59.95,81.8664093,40.70100514
59.96,82.35289764,40.74528691
59.97,82.83374023,40.78994977
59.98,83.30899048,40.83499371
59.99,83.77870178,40.88040845
60,84.24287415,40.9261974
60.01,84.70152283,40.97235028
60.02,85.15470123,41.01887051
60.03,85.60245514,41.06575123
60.04,86.04483032,41.11298901
60.05,86.48182678,41.16058041
60.06,86.91348267,41.208522
60.07,87.33979797,41.25681035
60.08,87.76078033,41.30544545
60.09,88.17648315,41.35442044
60.1,88.58691406,41.40373532
60.11,88.99207306,41.45338322
60.12,89.39203644,41.50336072
60.13,89.78681183,41.55367123
60.14,90.1763916,41.60430104
60.15,90.56078339,41.655257
60.16,90.93997192,41.70653225
60.17,91.31396484,41.75811993
60.18,91.68281555,41.81002347
60.19,92.0464859,41.86223599
60.2,92.40503693,41.91475407
60.21,92.75850677,41.96757428
60.22,93.10693359,42.02069661
60.23,93.45030212,42.07411419
60.24,93.78868866,42.12782361
60.25,94.12205505,42.18182484
60.26,94.45055389,42.23611447
60.27,94.77417755,42.29068219
60.28,95.0929718,42.34553486
60.29,95.40707397,42.40065876
60.3,95.71653748,42.45605732
60.31,96.02139282,42.51172368
60.32,96.32167816,42.56765782
60.33,96.61734009,42.62385289
60.34,96.90839386,42.68030545
60.35,97.19496155,42.73701893
60.36,97.47697449,42.79398304
60.37,97.75462341,42.85119435
60.38,98.02796173,42.90865284
60.39,98.2970047,42.96635853
60.4,98.56177521,43.02430111
60.41,98.82226563,43.08248402
60.42,99.07834625,43.14090039
60.43,99.33020782,43.19955021
60.44,99.57774353,43.25842663
60.45,99.82116699,43.31752964
60.46,100.0605774,43.37685582
60.47,100.29599,43.43640171
60.48,100.5274811,43.49616734
60.49,100.7550888,43.55614582
60.5,100.978653,43.61633717
60.51,101.1983871,43.67673451
60.52,101.4142075,43.73734127
60.53,101.6263428,43.79814717
60.54,101.8349838,43.85915562
60.55,102.040123,43.9203632
60.56,102.2417831,43.98176647
60.57,102.4399796,44.04336201
60.58,102.6345749,44.10514637
60.59,102.825676,44.16711956
60.6,103.0133514,44.22927815
60.61,103.1977234,44.29161869
60.62,103.3790665,44.3541412
60.63,103.5574112,44.4168388
60.64,103.7328033,44.47971493
60.65,103.9052658,44.54276272
60.66,104.0746841,44.60598217
60.67,104.2413177,44.66936985
60.68,104.4052658,44.73291889
60.69,104.5665436,44.79663273
60.7,104.7254257,44.86050793
60.71,104.881958,44.92453762
60.72,105.0361328,44.98872868
60.73,105.1879959,45.05307423
60.74,105.337326,45.11757084
60.75,105.4842529,45.18222195
60.76,105.6288223,45.24702069
60.77,105.77108,45.31196705
60.78,105.911377,45.37706104
60.79,106.0497818,45.44229923
60.8,106.1863174,45.50767819
60.81,106.3210144,45.57320133
60.82,106.4536438,45.63886524
60.83,106.584404,45.70466648
60.84,106.7132797,45.77060162
60.85,106.8404312,45.83667751
60.86,106.9661636,45.90288387
60.87,107.090538,45.96922413
60.88,107.2135849,46.03569828
60.89,107.3353271,46.10229946
60.9,107.4554672,46.16903454
60.91,107.5743561,46.23589665
60.92,107.6918411,46.30288578
60.93,107.8082428,46.37000195
60.94,107.9237823,46.43724171
60.95,108.0385208,46.5046085
60.96,108.1524887,46.57209889
60.97,108.2656097,46.63970944
60.98,108.3777161,46.70744701
60.99,108.4891891,46.77530476
61,108.599762,46.84328266
61.01,108.7099609,46.91138073
61.02,108.8198929,46.97959896
61.03,108.9295959,47.04793736
61.04,109.0391083,47.11639248
61.05,109.1481552,47.1849712
61.06,109.2569656,47.25366322
61.07,109.3655853,47.3224754
61.08,109.4740448,47.39140774
61.09,109.582756,47.46045338
61.1,109.6918106,47.52961918
61.11,109.801239,47.59890171
61.12,109.9109726,47.66830441
61.13,110.0207977,47.7378204
61.14,110.1311417,47.80745655
61.15,110.2417221,47.87721287
61.16,110.353035,47.94708248
61.17,110.4652557,48.01707226
61.18,110.5781174,48.0871822
61.19,110.69133,48.1574123
61.2,110.8048782,48.22775913
61.21,110.9188538,48.29822269
61.22,111.033287,48.36880985
61.23,111.1482391,48.43951374
61.24,111.2638702,48.51033779
61.25,111.3802795,48.581282
61.26,111.4975662,48.65234295
61.27,111.6157837,48.72353092
61.28,111.734993,48.79483562
61.29,111.8553543,48.86626392
61.3,111.9768906,48.93781238
61.31,112.0998001,49.00948444
61.32,112.2242203,49.0812801
61.33,112.3502731,49.15320278
61.34,112.4780426,49.22524906
61.35,112.6075897,49.29741894
61.36,112.73909,49.36971928
61.37,112.8725891,49.44214664
61.38,113.0082779,49.51470447
61.39,113.146286,49.58738933
61.4,113.2867661,49.66020809
61.41,113.4298172,49.73316074
61.42,113.5755005,49.80624729
61.43,113.7239838,49.87946773
61.44,113.8753052,49.95282894
61.45,114.0296097,50.02632747
61.46,114.1870575,50.09996677
61.47,114.3477554,50.17375027
61.48,114.511795,50.24767452
61.49,114.6791916,50.3217464
61.5,114.848465,50.39596935
61.51,115.0058594,50.47033649
61.52,115.1409988,50.54484096
61.53,115.2692947,50.61946903
61.54,115.40168,50.69421726
61.55,115.544838,50.76909252
61.56,115.697876,50.84410167
61.57,115.8555603,50.91924473
61.58,116.0190048,50.99452854
61.59,116.189003,51.06995655
61.6,116.3661728,51.14552875
61.61,116.5509796,51.22125202
61.62,116.7437134,51.29713321
61.63,116.9444962,51.37317234
61.64,117.1534729,51.44937626
61.65,117.3705444,51.5257484
61.66,117.5956726,51.60229564
61.67,117.8287277,51.67902141
61.68,118.0695038,51.75593258
61.69,118.3177261,51.83303257
61.7,118.5730667,51.91032138
61.71,118.8352661,51.98780933
61.72,119.10392,52.0654964
61.73,119.3787537,52.14338604
61.74,119.6594467,52.2214851
61.75,119.9456482,52.29979702
61.76,120.2369766,52.3783218
61.77,120.5330811,52.45706287
61.78,120.8336411,52.53602367
61.79,121.1382675,52.6152042
61.8,121.4467087,52.69461475
61.81,121.7586746,52.77424846
61.82,122.0738602,52.85410877
61.83,122.391922,52.9341991
61.84,122.7126236,53.01452289
61.85,123.035675,53.09508014
61.86,123.3608093,53.17586742
61.87,123.6878433,53.25689159
61.88,124.0165634,53.33815265
61.89,124.3467331,53.41964717
61.9,124.6781082,53.50137859
61.91,125.0105515,53.5833469
61.92,125.3438034,53.6655521
61.93,125.677742,53.74799076
61.94,126.0122375,53.83066974
61.95,126.3471298,53.91358562
61.96,126.6822433,53.99673839
61.97,127.0174637,54.08012805
61.98,127.3526459,54.16375118
61.99,127.6875916,54.24761119
62,128.021698,54.33170467
62.01,128.3547821,54.4160316
62.02,128.6866913,54.50058856
62.03,129.0172729,54.58537898
62.04,129.3466492,54.670396
62.05,129.6745758,54.75564304
62.06,130.001236,54.84111667
62.07,130.3266754,54.9268169
62.08,130.6508484,55.01273685
62.09,130.9736023,55.09888339
62.1,131.2950287,55.18524967
62.11,131.6150513,55.27183223
62.12,131.9336243,55.35863796
62.13,132.2509003,55.44565654
62.14,132.5668793,55.53289142
62.15,132.881485,55.62033916
62.16,133.1946716,55.70799976
62.17,133.506485,55.79586978
62.18,133.8167877,55.88394924
62.19,134.1257782,55.97223811
62.2,134.4334412,56.06073299
62.21,134.7397766,56.14943042
62.22,135.0446777,56.23833385
62.23,135.3482361,56.3274364
62.24,135.6503143,56.41674152
62.25,135.9510193,56.50624233
62.26,136.2503967,56.59594226
62.27,136.5484619,56.68583789
62.28,136.8451233,56.77592921
62.29,137.1404266,56.86620937
62.3,137.4342804,56.95668521
62.31,137.7267303,57.04734988
62.32,138.0178375,57.13819995
62.33,138.3075714,57.22923885
62.34,138.5959167,57.32046313
62.35,138.8828735,57.41186938
62.36,139.1683807,57.50346103
62.37,139.4523926,57.5952312
62.38,139.7350006,57.68718333
62.39,140.0162048,57.77931056
62.4,140.29599,57.87160945
62.41,140.5743256,57.96408687
62.42,140.8511963,58.05674281
62.43,141.1265564,58.14956355
62.44,141.4004517,58.24255595
62.45,141.6728973,58.33571315
62.46,141.9439545,58.42904201
62.47,142.2135773,58.52252879
62.48,142.4817505,58.61618037
62.49,142.7484741,58.70999675
62.5,143.0137939,58.80397792
62.51,143.2777557,58.89811015
62.52,143.5404663,58.99240031
62.53,143.8019104,59.0868484
62.54,144.0621185,59.18144755
62.55,144.3211517,59.27620463
62.56,144.579071,59.37110591
62.57,144.8359985,59.46616511
62.58,145.0921631,59.56136165
62.59,145.34758,59.65671611
62.6,145.6024017,59.7522079
62.61,145.856781,59.84785075
62.62,146.1108856,59.9436378
62.63,146.3649445,60.03956218
62.64,146.6193237,60.13563762
62.65,146.874115,60.23184352
62.66,147.1295929,60.32820048
62.67,147.3860016,60.42469478
62.68,147.6434937,60.52133326
62.69,147.9023132,60.61810908
62.7,148.1619873,60.7150291
62.71,148.4222565,60.81208644
62.72,148.6832275,60.90928798
62.73,148.944931,61.00662684
62.74,149.207428,61.10410304
62.75,149.4707336,61.20172343
62.76,149.7348633,61.29948115
62.77,149.9996948,61.39738307
62.78,150.2651367,61.49541545
62.79,150.5309143,61.59359202
62.8,150.7967834,61.69190593
62.81,151.0623169,61.79035716
62.82,151.3248901,61.88894572
62.83,151.5820923,61.98766475
62.84,151.8361359,62.08651423
62.85,152.1038666,62.18549418
62.86,152.3927307,62.28460459
62.87,152.7067108,62.38387294
62.88,153.0279083,62.48329921
62.89,153.3491516,62.58289714
62.9,153.6682281,62.68265986
62.91,153.9813538,62.78258738
62.92,154.276947,62.88266597
62.93,154.5580444,62.98289561
62.94,154.8276215,63.08325572
62.95,155.0879974,63.18373942
62.96,155.3408508,63.28434672
62.97,155.5874176,63.38507075
62.98,155.8286896,63.48590464
62.99,156.0652466,63.5868484
63,156.2976379,63.68789515
63.01,156.5171356,63.78903803
63.02,156.7513885,63.89027705
63.03,156.9732513,63.99161219
63.04,157.1921234,64.0930366
63.05,157.4080963,64.19455027
63.06,157.6213837,64.29614634
63.07,157.8320313,64.39781794
63.08,158.0401917,64.49957881
63.09,158.2460022,64.6014152
63.1,158.4495239,64.70332026
63.11,158.6508484,64.80530085
63.12,158.8501434,64.90735011
63.13,159.0473328,65.00946803
63.14,159.24263,65.11164774
63.15,159.4360504,65.21389613
63.16,159.6277161,65.31619944
63.17,159.8176727,65.41856455
63.18,160.0059052,65.5209846
63.19,160.1925507,65.62345957
63.2,160.3776855,65.72598948
63.21,160.5613403,65.82856745
63.22,160.7436218,65.93120036
63.23,160.92453,66.03387446
63.24,161.1041718,66.13659663
63.25,161.2826996,66.23935999
63.26,161.460083,66.34217143
63.27,161.6364594,66.44501719
63.28,161.8118134,66.54790415
63.29,161.9862061,66.65082545
63.3,162.1598053,66.75378107
63.31,162.3325806,66.8567779
63.32,162.5046234,66.95980219
63.33,162.6759491,67.06285395
63.34,162.8465576,67.16594004
63.35,163.0166168,67.2690536
63.36,163.1860962,67.37218775
63.37,163.3550568,67.47535624
63.38,163.5235596,67.57854533
63.39,163.6915894,67.68175501
63.4,163.8592834,67.7849853
63.41,164.0266266,67.88824305
63.42,164.1936798,67.99151453
63.43,164.3605042,68.09480662
63.44,164.5270844,68.19811243
63.45,164.6935272,68.30143885
63.46,164.8598785,68.40477213
63.47,165.0261078,68.50812601
63.48,165.1890259,68.61149363
63.49,165.1793823,68.71485438
63.5,165.1122437,68.81808466
63.51,164.8988495,68.92117075
63.52,164.492981,69.02398905
63.53,163.8646545,69.12641596
63.54,163.0013885,69.22830729
63.55,161.8931885,69.32951197
63.56,160.5323639,69.42987208
63.57,158.9179688,69.52921595
63.58,157.0537872,69.62738566
63.59,154.9463043,69.72422327
63.6,152.6043396,69.81957087
63.61,150.0379181,69.91327738
63.62,147.2578278,70.00519861
63.63,144.2756958,70.09518351
63.64,141.1030731,70.1831222
63.65,137.7521362,70.26887049
63.66,134.2351685,70.35231852
