Time,Velocity
12.73,15.1887188
12.74,15.15962887
12.75,15.13059235
12.76,15.10161018
12.77,15.07268238
12.78,15.0438118
12.79,15.01499748
12.8,14.98624229
12.81,14.95754528
12.82,14.92890739
12.83,14.9003315
12.84,14.87181664
12.85,14.84336472
12.86,14.81497574
12.87,14.78665066
12.88,14.75839138
12.89,14.73019695
12.9,14.70206928
12.91,14.67400837
12.92,14.64601612
12.93,14.61809158
12.94,14.59023666
12.95,14.56245136
12.96,14.53473663
12.97,14.50709248
12.98,14.47951889
12.99,14.45201778
13,14.42458916
13.01,14.39723206
13.02,14.36994934
13.03,14.34273911
13.04,14.3156023
13.05,14.28853893
13.06,14.26154995
13.07,14.23463535
13.08,14.20779514
13.09,14.18102837
13.1,14.15433693
13.11,14.12771893
13.12,14.10117626
13.13,14.07470798
13.14,14.04831314
13.15,14.02199268
13.16,13.99574566
13.17,13.96957302
13.18,13.94347286
13.19,13.91744614
13.2,13.89149189
13.21,13.86560917
13.22,13.83979797
13.23,13.8140583
13.24,13.7883873
13.25,13.76278687
13.26,13.73725414
13.27,13.71178818
13.28,13.68638992
13.29,13.66105652
13.3,13.63578892
13.31,13.61058426
13.32,13.58544254
13.33,13.56036186
13.34,13.53534222
13.35,13.51038265
13.36,13.48548031
13.37,13.46063614
13.38,13.43584824
13.39,13.41111469
13.4,13.38643551
13.41,13.36180878
13.42,13.33723259
13.43,13.31270695
13.44,13.2882309
13.45,13.26380157
13.46,13.23941898
13.47,13.21508121
13.48,13.19078636
13.49,13.16653442
13.5,13.14232254
13.51,13.11815071
13.52,13.09401608
13.53,13.06991863
13.54,13.04585552
13.55,13.02182674
13.56,12.99783039
13.57,12.9738636
13.58,12.94992733
13.59,12.92601871
13.6,12.9021368
13.61,12.87827969
13.62,12.85444641
13.63,12.83063602
13.64,12.80684662
13.65,12.78307724
13.66,12.75932598
13.67,12.73559284
13.68,12.71187592
13.69,12.68817425
13.7,12.66448689
13.71,12.64081192
13.72,12.61714935
13.73,12.59349823
13.74,12.5698576
13.75,12.5462265
13.76,12.52260399
13.77,12.49898911
13.78,12.4753809
13.79,12.45177937
13.8,12.42818451
13.81,12.40459442
13.82,12.3810091
13.83,12.3574276
13.84,12.33384991
13.85,12.31027508
13.86,12.28670216
13.87,12.2631321
13.88,12.23956394
13.89,12.21599674
13.9,12.1924305
13.91,12.16886425
13.92,12.145298
13.93,12.12172985
13.94,12.09816074
13.95,12.07458878
13.96,12.0510149
13.97,12.02743626
