#Name,Car.ay,Car.tx,Car.ty,Car.v,Steer.WhlAng,Time
#Dataset,C1,C1,C1,C1,C1,C1
#Unit,m/s^2,m,m,m/s,deg,s
,4.62E-07,2.743412495,2.423356056,3.53E-07,4.76E-14,1.24
,1.29E-07,2.743412495,2.423356056,3.52E-07,4.76E-14,1.25
,-7.85E-08,2.743412495,2.423356056,3.52E-07,4.76E-14,1.26
,-1.97E-07,2.743412495,2.423356056,3.54E-07,4.76E-14,1.27
,-4.30E-07,2.743412495,2.423356056,3.53E-07,4.76E-14,1.28
,-2.95E-08,2.743412495,2.423356056,3.52E-07,4.76E-14,1.29
,1.35E-07,2.743412495,2.423356056,3.53E-07,4.76E-14,1.3
,-3.94E-08,2.743412495,2.423356056,3.54E-07,4.76E-14,1.31
,1.91E-08,2.743412495,2.423356056,3.53E-07,4.76E-14,1.32
,5.01E-08,2.743412495,2.423356056,3.51E-07,4.76E-14,1.33
,4.61E-07,2.743412495,2.423356056,3.51E-07,4.76E-14,1.34
,3.70E-08,2.743412495,2.423356056,3.50E-07,4.76E-14,1.35
,1.43E-07,2.743412495,2.423356056,3.50E-07,4.76E-14,1.36
,-1.20E-07,2.743412495,2.423356056,3.51E-07,4.76E-14,1.37
,-4.65E-07,2.743412495,2.423356056,3.52E-07,4.76E-14,1.38
,-2.14E-08,2.743412495,2.423356295,3.52E-07,4.76E-14,1.39
,-1.41E-07,2.743412495,2.423356295,3.52E-07,4.76E-14,1.4
,1.28E-08,2.743412495,2.423356295,3.51E-07,4.76E-14,1.41
,5.50E-07,2.743412495,2.423356295,3.49E-07,4.76E-14,1.42
,-1.40E-07,2.743412495,2.423356295,3.48E-07,4.76E-14,1.43
,5.45E-08,2.743412495,2.423356295,3.48E-07,4.76E-14,1.44
,-9.47E-08,2.743412495,2.423356295,3.48E-07,4.76E-14,1.45
,-3.82E-08,2.743412495,2.423356295,3.49E-07,4.76E-14,1.46
,4.34E-07,2.743412495,2.423356295,3.50E-07,4.76E-14,1.47
,9.23E-08,2.743412495,2.423356295,3.50E-07,4.76E-14,1.48
,7.03E-07,2.743412495,2.423356295,3.48E-07,4.76E-14,1.49
,9.27E-08,2.743412495,2.423356295,3.47E-07,4.76E-14,1.5
,-6.85E-07,2.743412495,2.423356295,3.47E-07,4.76E-14,1.51
,-4.55E-08,2.743412495,2.423356295,3.46E-07,4.76E-14,1.52
,6.08E-08,2.743412495,2.423356295,3.46E-07,4.76E-14,1.53
,6.24E-08,2.743412495,2.423356295,3.46E-07,4.76E-14,1.54
,-7.45E-08,2.743412495,2.423356295,3.48E-07,4.76E-14,1.55
,-1.86E-07,2.743412495,2.423356295,3.49E-07,4.76E-14,1.56
,9.43E-08,2.743412495,2.423356295,3.48E-07,4.76E-14,1.57
,5.06E-07,2.743412495,2.423356295,3.46E-07,4.76E-14,1.58
,1.77E-07,2.743412495,2.423356295,3.44E-07,4.76E-14,1.59
,1.56E-08,2.743412495,2.423356295,3.45E-07,4.76E-14,1.6
,2.85E-09,2.743412495,2.423356295,3.44E-07,4.76E-14,1.61
,3.51E-07,2.743412495,2.423356295,3.47E-07,4.76E-14,1.62
,1.03E-07,2.743412495,2.423356295,3.48E-07,4.76E-14,1.63
,-4.29E-08,2.743412495,2.423356295,3.48E-07,4.76E-14,1.64
,9.57E-08,2.743412495,2.423356295,3.47E-07,4.76E-14,1.65
,-4.82E-08,2.743412495,2.423356295,3.46E-07,4.76E-14,1.66
,3.18E-08,2.743412495,2.423356295,3.45E-07,4.76E-14,1.67
,8.97E-09,2.743412495,2.423356295,3.44E-07,4.76E-14,1.68
,1.14E-07,2.743412495,2.423356295,3.44E-07,4.76E-14,1.69
,6.02E-07,2.743412495,2.423356295,3.45E-07,4.76E-14,1.7
,8.36E-09,2.743412495,2.423356295,3.46E-07,4.76E-14,1.71
,3.33E-09,2.743412495,2.423356295,3.46E-07,4.76E-14,1.72
,6.52E-09,2.743412495,2.423356295,3.44E-07,4.76E-14,1.73
,-1.47E-07,2.743412495,2.423356295,3.43E-07,4.76E-14,1.74
,-1.40E-07,2.743412495,2.423356295,3.43E-07,4.76E-14,1.75
,2.16E-07,2.743412495,2.423356295,3.44E-07,4.76E-14,1.76
,4.06E-08,2.743412495,2.423356295,3.45E-07,4.76E-14,1.77
,5.14E-07,2.743412495,2.423356295,3.42E-07,4.76E-14,1.78
,1.76E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,1.79
,7.69E-08,2.743412495,2.423356295,3.41E-07,4.76E-14,1.8
,5.21E-08,2.743412495,2.423356295,3.42E-07,4.76E-14,1.81
,4.96E-07,2.743412495,2.423356295,3.43E-07,4.76E-14,1.82
,1.54E-07,2.743412495,2.423356295,3.44E-07,4.76E-14,1.83
,6.53E-07,2.743412495,2.423356295,3.43E-07,4.76E-14,1.84
,5.04E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,1.85
,2.61E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,1.86
,-1.34E-07,2.743412495,2.423356295,3.40E-07,4.76E-14,1.87
,-5.96E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,1.88
,-6.93E-07,2.743412495,2.423356295,3.42E-07,4.76E-14,1.89
,-6.61E-07,2.743412495,2.423356295,3.42E-07,4.76E-14,1.9
,-6.52E-08,2.743412495,2.423356295,3.42E-07,4.76E-14,1.91
,8.67E-09,2.743412495,2.423356295,3.41E-07,4.76E-14,1.92
,4.48E-10,2.743412495,2.423356295,3.40E-07,4.76E-14,1.93
,-3.10E-09,2.743412495,2.423356295,3.39E-07,4.76E-14,1.94
,-5.69E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,1.95
,-8.99E-08,2.743412495,2.423356295,3.42E-07,4.76E-14,1.96
,2.31E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,1.97
,5.79E-07,2.743412495,2.423356295,3.40E-07,4.76E-14,1.98
,6.43E-07,2.743412495,2.423356295,3.38E-07,4.76E-14,1.99
,-4.80E-08,2.743412495,2.423356295,3.37E-07,4.76E-14,2
,-8.53E-09,2.743412495,2.423356295,3.39E-07,4.76E-14,2.01
,5.67E-07,2.743412495,2.423356295,3.39E-07,4.76E-14,2.02
,2.24E-07,2.743412495,2.423356295,3.41E-07,4.76E-14,2.03
,-1.43E-07,2.743412495,2.423356295,3.39E-07,4.76E-14,2.04
,-6.12E-08,2.743412495,2.423356295,3.39E-07,4.76E-14,2.05
,-5.04E-07,2.743412495,2.423356295,3.38E-07,4.76E-14,2.06
,-2.58E-08,2.743412495,2.423356295,3.36E-07,4.76E-14,2.07
,2.78E-08,2.743412495,2.423356295,3.35E-07,4.76E-14,2.08
,-2.67E-08,2.743412495,2.423356533,3.35E-07,4.76E-14,2.09
,-2.85E-08,2.743412495,2.423356533,3.36E-07,4.76E-14,2.1
,4.95E-07,2.743412495,2.423356533,3.38E-07,4.76E-14,2.11
,2.50E-07,2.743412495,2.423356533,3.38E-07,4.76E-14,2.12
,1.04E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.13
,2.16E-08,2.743412495,2.423356533,3.35E-07,4.76E-14,2.14
,5.69E-08,2.743412495,2.423356533,3.34E-07,4.76E-14,2.15
,-3.23E-08,2.743412495,2.423356533,3.37E-07,4.76E-14,2.16
,-8.64E-09,2.743412495,2.423356533,3.37E-07,4.76E-14,2.17
,1.11E-06,2.743412495,2.423356533,3.37E-07,4.76E-14,2.18
,-8.13E-08,2.743412495,2.423356533,3.37E-07,4.76E-14,2.19
,-5.43E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.2
,4.15E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.21
,1.61E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.22
,6.10E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.23
,-2.61E-08,2.743412495,2.423356533,3.37E-07,4.76E-14,2.24
,-1.18E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.25
,5.90E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.26
,1.03E-07,2.743412495,2.423356533,3.36E-07,4.76E-14,2.27
,6.22E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.28
,5.15E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.29
,9.72E-08,2.743412495,2.423356533,3.37E-07,4.76E-14,2.3
,-4.28E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.31
,9.26E-08,2.743412495,2.423356533,3.37E-07,4.76E-14,2.32
,5.08E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.33
,-1.05E-06,2.743412495,2.423356533,3.37E-07,4.76E-14,2.34
,-5.37E-07,2.743412495,2.423356533,3.37E-07,4.76E-14,2.35
,-6.08E-07,2.743412495,2.423356533,3.36E-07,4.76E-14,2.36
,6.99E-08,2.743412495,2.423356533,3.36E-07,4.76E-14,2.37
,-5.51E-08,2.743412495,2.423356533,3.36E-07,4.76E-14,2.38
,7.95E-08,2.743412495,2.423356533,3.32E-07,4.76E-14,2.39
,-7.59E-09,2.743412495,2.423356533,3.32E-07,4.76E-14,2.4
,7.24E-08,2.743412495,2.423356533,3.34E-07,4.76E-14,2.41
,-4.84E-08,2.743412495,2.423356533,3.35E-07,4.76E-14,2.42
,9.49E-08,2.743412495,2.423356533,3.33E-07,4.76E-14,2.43
,6.86E-08,2.743412495,2.423356533,3.32E-07,4.76E-14,2.44
,-1.03E-06,2.743412495,2.423356533,3.32E-07,4.76E-14,2.45
,-6.27E-07,2.743412495,2.423356533,3.31E-07,4.76E-14,2.46
,-4.71E-09,2.743412495,2.423356533,3.30E-07,4.76E-14,2.47
,5.77E-08,2.743412495,2.423356533,3.30E-07,4.76E-14,2.48
,3.22E-08,2.743412495,2.423356533,3.32E-07,4.76E-14,2.49
,7.80E-10,2.743412495,2.423356533,3.30E-07,4.76E-14,2.5
,-2.32E-09,2.743412495,2.423356533,3.28E-07,4.76E-14,2.51
,-1.20E-06,2.743412495,2.423356533,3.30E-07,4.76E-14,2.52
,1.04E-06,2.743412495,2.423356533,3.30E-07,4.76E-14,2.53
