time,ecu,resp_id,did,signal,value,unit
19.42235,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.42235,MCU DID 0101,0x7EC,0101,rpm,132,rpm
19.442525,ABS / ESP,0x7D9,,speed_kmh,1,km/h
19.454857,ABS / ESP,0x7D9,,steer_raw,32767,raw
19.458803,ABS / ESP,0x7D9,,brake_pedel,39,mm
19.552472,MCU DID 0101,0x7EC,0101,battery_current,1.6,A
19.552472,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
19.552472,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.552472,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.552472,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.552472,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.552472,MCU DID 0101,0x7EC,0101,rpm,65528,rpm
19.571667,ABS / ESP,0x7D9,,speed_kmh,0,km/h
19.585273,ABS / ESP,0x7D9,,steer_raw,32769,raw
19.590192,ABS / ESP,0x7D9,,brake_pedel,29,mm
19.686992,MCU DID 0101,0x7EC,0101,battery_current,1.4000000000000001,A
19.686992,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
19.686992,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.686992,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.686992,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.686992,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.686992,MCU DID 0101,0x7EC,0101,rpm,18,rpm
19.707407,ABS / ESP,0x7D9,,speed_kmh,0,km/h
19.719681,ABS / ESP,0x7D9,,steer_raw,32770,raw
19.724711,ABS / ESP,0x7D9,,brake_pedel,30,mm
19.822535,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
19.822535,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
19.822535,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.822535,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.822535,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.822535,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.822535,MCU DID 0101,0x7EC,0101,rpm,47,rpm
19.841342,ABS / ESP,0x7D9,,speed_kmh,0,km/h
19.855953,ABS / ESP,0x7D9,,steer_raw,32772,raw
19.860067,ABS / ESP,0x7D9,,brake_pedel,32,mm
19.952615,MCU DID 0101,0x7EC,0101,battery_current,1.2000000000000002,A
19.952615,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
19.952615,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.952615,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.952615,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.952615,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.952615,MCU DID 0101,0x7EC,0101,rpm,65530,rpm
19.971147,ABS / ESP,0x7D9,,speed_kmh,0,km/h
19.985186,ABS / ESP,0x7D9,,steer_raw,32772,raw
19.990246,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.082596,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
20.082596,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
20.082596,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.082596,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.082596,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.082596,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.082596,MCU DID 0101,0x7EC,0101,rpm,65522,rpm
20.102125,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.115121,ABS / ESP,0x7D9,,steer_raw,32771,raw
20.120122,ABS / ESP,0x7D9,,brake_pedel,33,mm
20.212763,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
20.212763,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
20.212763,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.212763,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.212763,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.212763,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.212763,MCU DID 0101,0x7EC,0101,rpm,65522,rpm
20.231403,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.244408,ABS / ESP,0x7D9,,steer_raw,32771,raw
20.248935,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.342342,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
20.342342,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
20.342342,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.342342,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.342342,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.342342,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.342342,MCU DID 0101,0x7EC,0101,rpm,65523,rpm
20.361511,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.375405,ABS / ESP,0x7D9,,steer_raw,32772,raw
20.380406,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.473057,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
20.473057,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
20.473057,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.473057,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.473057,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.473057,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.473057,MCU DID 0101,0x7EC,0101,rpm,0,rpm
20.49169,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.505785,ABS / ESP,0x7D9,,steer_raw,32772,raw
20.509799,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.601985,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
20.602985,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
20.602985,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.602985,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.602985,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.602985,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.602985,MCU DID 0101,0x7EC,0101,rpm,0,rpm
20.622057,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.635067,ABS / ESP,0x7D9,,steer_raw,32772,raw
